JOB PROFILE,TOOLS
sr. technical product,"product management, agile, java, enterprise apps, software product development, web frameworks, web services, application platform', 'product management, agile, java, enterprise apps, software product development, web frameworks, web services, application platform"
paid to drive,ability to drive
licenced electrician  ,licenced electrician
senior obia developer,"obiee, obia, ""oracle bi"", ""bi application"" odi"
devops engineer /,"devops, puppet, linux, iaas / paas, satellite, python, vmware"
"manager, product testing",test
windows/linux systems engineer,"windows systems administration exchange active directory vmware centos ubuntu', 'windows systems administration exchange active directory vmware centos ubuntu"
sr. salesforce business,salesforce business systems analyst
c#.net full stack,"c# .net sql ,full stack developer"
senior infrastructure engineer,"linux infrastructure, vmware virtualization, production data centers, rhel and centos operating systems, lamp support, scripting, redhat and vmware certified."
devops engineer (startup:,"3+ years of devops, coding skills, python preferred, strong linux, automation skills, config mgmt tools: ansible, chef, puppet, salt, mysql, monitoring"
senior product analyst,senior product analyst cloud exchange
eloqua consultant  ,"eloqua api, eloqua marketing application', 'eloqua javascript apis"
business intelligence strategist/analyst,business intelligence strategist/analyst
security engineer -,"check point, security, pre-sales"
oracle apps project,oracle apps project lead
product designer 2,"product design, graphic design, industrial design, visual design, ux"
force.com developer  ,salesforce.com visualforce apex
network engineer i,"network engineer, network infrastructure, ip networking fundamentals, tcp, bgp, ospf"
java develop  ,"nodejs, html5, css3, jquery, bootstrap, angular.js, mean stack,oauth, rest, json, xml"
sr. database engineer,"sql server, ssrs, ssis, etl, mdm"
sr. software engineer-,"java, php, javascript, full-stack, software engineer, software developer"
infrastructure cabling engineer,rcdd
back-end java developer/,"java and oo programming, restful apis, open source frameworks', 'java and oo programming, restful apis, open source frameworks"
senior workday integration,"workday, integration, workday hr, compensation, benefits ,workday payroll,eib,studio', 'workday,integration"
it support marketing,design systems analyst
sr android engineer,"c, c++, android, restful, slideme, ""google play"""
desktop support techs,"windows, microsoft"
devops engineer /,ec2 aws amazon web services python devops site reliability
iv&v consultant  ,"independent, validation, verification, iv&v, qa, consulting, assessing"
sr. graphic/web designer,"html/css; marketo, eloqua, hubspot; adobe creative suite; print and web design collateral, powerpoint/ms office suite"
java server-side developer,"java, j2ee, struts2, hibernate, rest, sml, sql, oracle, unix', 'java, j2ee, struts2, hibernate, rest, sml, sql, oracle, unix"
operations program assistant,"program management, admin, outlook, excel, sharepoint"
senior devops engineer,"devops, ci, cd, tools, framework, cloud, containers, teamcity, jenkins, aws, vagrant, mesos, kubernetes, paas, log management, elk, splunk, sumologic, ant, gradle, maven, java, .net, c++, python"
datastage/ cognos/ mobile,datastage/ cognos/ mobile technologies/ java atg/ java hybris/ cloud computing/ sitecore
senior visual product,"prototyping, workflows, flow charts, wireframes"
software design engineer,"software development, javascript, jquery, jquery ui, semantic html, aria"
speech and language,"the ideal candidate will be flexible, detail-oriented, good with people, and comfortable working with participants in the field. this position requires the ability to work with minimal direction, the"
training facilitator  ,"training facilitator, webex, live meeting"
unix systems engineer/puppet,"unix, puppet, openstack"
frontend software architect,"ux, ui, architect, javascript, extjs, jquery, ajax, java, jsp, css"
image processing/sensor fusion/sw,"image processing, algorithm. sensor"
security analyst (iam/boks),"identity access manaager, boks, security administration, compliance, policy, procedure"
senior marketing engineer,"video, digital imaging, embedded software, customer focus"
"sr. analyst, gec","sas,statistics,pmp certification, sql,ecommerce"
java backend egineer,"datastructure, core java, restfull"
relocate to bermuda,"c#, .net, visual studio, mvc, jquery, sql"
staff qa engineer,"hdd, ssd, kernel modules, hba firmware"
associate business manager,"ecommerce, manager, storemanager"
manthan systems -,"analytics, tableau, marketing retail ecommerce"
senior it systems,mcsa windows server mac vmware cisco
marketing sourcing specialist,"bachelors degree in business, supply chain or similar required"
power bi developer,"power bi, power pivot, bi language power query"
sr vmware engineer,"vmware ,vcloud, vrealize, vsphere, powershell scripting,automation"
sr. python developer,"python, mysql', 'angularjs, architecture, automated, cms, content management, developer, development, hadoop, html, http, java, javascript, management, python, sql, testing"
sr. / lead,android
e-commerce developer (macys.com),see job overview.
"release engineer, saas","release, build tools, jenkins, continuous deployment, continuous integration, aws, linux, coding"
linux admin/devops consultant,linux admin/devops consultant
lead backend java,java spring hibernate architect python php
senior salesforce.com (sfdc),apex visualforce force.com
mid to lead,unity gaming games game
operations consultant/ analyst,operations consultant/ analyst
ph.d (degreed eng.),master degree or ph.d. (preferred) graduated students
project manager (testing/qa),"qa, project manager, pmi or pmp, hp qc/alm, jira"
digital producer  ,"associate producer digital creative ecommerce', '""digital"" and ""project management""', 'associate producer digital creative ecommerce', 'associate producer digital creative ecommerce"
tibco developer (f2f,"tibco, tibco business work, tibco ems, hawk, tra, adb, adapter, soa"
software design engineer,"software development, c#, c++, 3d art pipelines"
sr. product manager,"agile / scrum, enterprise applications, java, data model, xml"
business / systems,"business systems analyst, servicenow performance analytics"
enterprise application analyst,netsuite boomi salesforce
relocate to grand,"senior .net developer - c#, .net, sql, oop/ood, mvc, tdd, agile"
product owner -,product owner for mobile omni channel experience; pos system
fulltime infrastructure/site reliability,fulltime infrastructure/site reliability engineering
senior abinitio developer,"abinitio eme, abinitio conduct>it, abinitio metadata hub, control m"
senior peoplesoft administrator,"peoplesoft, oracle, unix, shell, powershell, perl, sql"
level ii managed,"vmware, esxi, vcenter, iscsi san, active directory, dhcp, dns, autotask, kaseya"
vmware consultant  ,vmware
build/release consultant  ,"build/release,build dataflow and system design"
regional oracle software-solutions,"deep understanding of oracle software & solutions offerings, regional business development expertise, high quota achievement"
edi resource with,edi medassetts technical ghx
quality assurance automation,quality assurance; automation; asp.net; .net; c#
aix administrator  ,"(""aix admin"" or ""aix administrator"" or ""aix engineer"" or ""sr. aix admin"" or ""aix expert"" or ""unix admin"" or ""sr. unix admin"") and (""vio"") and (""lpar"") and (""power8"" or ""power 8"" or ""p8"")"
network engineer/architect  ,"ccna, cisco, pcie, architecture"
application consultant  ,integration analyst
sr technical project,"project management of technical / infrastructure projects ( systems, networks, windows, vmmare, cisco, san storage etc )"
tibco admin  ,"tibco, performance tuning, level 3 support, veritas"
legal assistant  ,"documents us patent , trademark , organization, professionalism, administrative requests, ms office suite, docketing , data entry software"
systems administrator -,"msce, network or networking, system administration, server, backups, microsoft certified, ccnp, ccna"
ruby on rails,"rails, ruby, perl, java or php. also linux, angular, ember or postgresql, working knowledge of modern web standards including html5, css3 and javascript"
